,date,AOD
0,2010-02-01,
1,2010-01-24,
2,2010-01-15,
3,2010-02-03,
4,2010-01-16,
5,2010-02-05,
6,2010-01-12,
7,2010-01-25,
8,2010-01-11,
9,2010-01-22,
10,2010-01-31,
11,2010-02-01,
12,2010-01-24,
13,2010-02-04,
14,2010-02-01,
15,2010-01-26,
16,2010-01-15,
17,2010-01-13,
18,2010-01-14,
19,2010-01-19,
20,2010-01-21,
21,2010-01-15,
22,2010-01-10,
23,2010-01-27,
24,2010-01-21,
25,2010-01-14,
26,2010-01-19,
27,2010-01-10,
28,2010-01-14,
29,2010-02-02,
30,2010-02-04,
31,2010-01-26,
32,2010-01-20,
33,2010-01-15,
34,2010-02-03,
35,2010-01-30,
36,2010-01-28,
37,2010-01-17,
38,2010-01-20,
39,2010-01-16,
40,2010-01-17,
41,2010-01-11,
42,2010-02-03,
43,2010-01-24,
44,2010-01-27,
45,2010-01-16,
46,2010-01-15,
47,2010-01-24,
48,2010-01-27,
49,2010-01-25,
50,2010-01-17,
51,2010-01-25,
52,2010-02-04,
53,2010-01-28,
54,2010-01-31,
55,2010-01-18,
56,2010-01-12,
57,2010-01-12,
58,2010-01-19,
59,2010-01-23,
60,2010-01-17,
61,2010-01-16,
62,2010-02-03,
63,2010-01-11,
64,2010-01-16,
65,2010-01-27,
66,2010-01-30,
67,2010-01-29,
68,2010-01-23,
69,2010-02-04,
70,2010-01-11,
71,2010-01-17,
72,2010-01-26,
73,2010-01-28,
74,2010-02-05,
75,2010-01-31,
76,2010-01-24,
77,2010-02-04,
78,2010-01-30,
79,2010-01-21,
80,2010-01-27,
81,2010-01-14,
82,2010-02-01,
83,2010-01-12,
84,2010-01-29,
85,2010-02-01,
86,2010-01-25,
87,2010-01-23,
88,2010-01-15,
89,2010-01-10,
90,2010-01-22,
91,2010-02-03,
92,2010-01-23,
93,2010-01-13,
94,2010-01-10,
95,2010-01-29,
96,2010-01-19,
97,2010-01-22,
98,2010-01-29,
99,2010-01-21,
100,2010-01-20,
101,2010-01-20,
102,2010-01-23,
103,2010-01-12,
104,2010-01-23,
105,2010-02-02,
106,2010-01-29,
107,2010-01-21,
108,2010-01-26,
109,2010-01-28,
110,2010-01-17,
111,2010-01-30,
112,2010-02-05,
113,2010-02-04,
114,2010-01-18,
115,2010-01-16,
116,2010-01-10,
117,2010-01-14,
118,2010-01-26,
119,2010-01-23,
120,2010-01-26,
121,2010-01-22,
122,2010-01-20,
123,2010-02-03,
124,2010-02-04,
125,2010-01-31,
126,2010-01-19,
127,2010-01-18,
128,2010-02-05,
129,2010-01-18,
130,2010-01-12,
131,2010-01-24,
132,2010-01-24,
133,2010-01-13,
134,2010-01-12,
135,2010-01-31,
136,2010-01-21,
137,2010-01-16,
138,2010-02-04,
139,2010-01-28,0.154
140,2010-01-19,
141,2010-01-18,
142,2010-01-13,
143,2010-02-02,
144,2010-01-30,
145,2010-02-02,
146,2010-01-11,
147,2010-02-01,
148,2010-02-02,
149,2010-01-27,
150,2010-02-01,
151,2010-01-11,
152,2010-01-30,
153,2010-02-02,
154,2010-01-13,
155,2010-02-05,
156,2010-01-22,
157,2010-01-19,
158,2010-01-25,
159,2010-01-14,
160,2010-01-28,
161,2010-02-02,
162,2010-01-28,
163,2010-01-20,
164,2010-01-31,
165,2010-01-17,
166,2010-01-26,
167,2010-01-19,
