,date,AOD
0,2010-01-01,
1,2010-01-01,
2,2010-01-01,
3,2010-01-01,
4,2010-01-01,
5,2010-01-01,
6,2010-01-01,
7,2010-01-02,
8,2010-01-02,
9,2010-01-02,
10,2010-01-02,
11,2010-01-02,
12,2010-01-02,
13,2010-01-03,
14,2010-01-03,
15,2010-01-03,
16,2010-01-03,
17,2010-01-03,
18,2010-01-03,
19,2010-01-03,
20,2010-01-04,
21,2010-01-04,
22,2010-01-04,
23,2010-01-04,
24,2010-01-04,
25,2010-01-05,
26,2010-01-05,
27,2010-01-05,
28,2010-01-05,
29,2010-01-05,
30,2010-01-05,
31,2010-01-06,
32,2010-01-06,
33,2010-01-06,0.179625
34,2010-01-06,
35,2010-01-06,
36,2010-01-07,
37,2010-01-07,
38,2010-01-03,
39,2010-01-04,
40,2010-01-07,
41,2010-01-09,
42,2010-01-11,
43,2010-01-13,
44,2010-01-15,
45,2010-01-17,
46,2010-01-19,
47,2010-01-20,
48,2010-01-07,
49,2010-01-07,
50,2010-01-07,
51,2010-01-07,
52,2010-01-08,
53,2010-01-08,
54,2010-01-08,
55,2010-01-08,
56,2010-01-08,
57,2010-01-08,
58,2010-01-08,
59,2010-01-09,
60,2010-01-09,
61,2010-01-09,
62,2010-01-09,
63,2010-01-09,
64,2010-01-10,
65,2010-01-10,
66,2010-01-10,0.47200000000000003
67,2010-01-10,
68,2010-01-10,
69,2010-01-10,
70,2010-01-10,
71,2010-01-11,
72,2010-01-11,
73,2010-01-11,
74,2010-01-11,
75,2010-01-11,
76,2010-01-12,
77,2010-01-12,
78,2010-01-12,
79,2010-01-12,
80,2010-01-12,
81,2010-01-12,
82,2010-01-12,
83,2010-01-13,
84,2010-01-13,
85,2010-01-13,
86,2010-01-13,
87,2010-01-14,
88,2010-01-14,0.215
89,2010-01-14,
90,2010-01-14,
91,2010-01-14,
92,2010-01-14,
93,2010-01-15,
94,2010-01-15,
95,2010-01-15,
96,2010-01-15,
97,2010-01-15,
98,2010-01-16,
99,2010-01-16,
100,2010-01-16,
101,2010-01-16,
102,2010-01-16,
103,2010-01-16,
104,2010-01-16,
105,2010-01-17,
106,2010-01-17,
107,2010-01-17,
108,2010-01-17,
109,2010-01-17,
110,2010-01-17,
111,2010-01-18,
112,2010-01-18,
113,2010-01-18,
114,2010-01-18,
115,2010-01-18,
116,2010-01-19,
117,2010-01-19,
118,2010-01-19,
119,2010-01-19,
120,2010-01-19,
121,2010-01-19,
122,2010-01-19,
123,2010-01-20,
124,2010-01-20,
125,2010-01-20,
126,2010-01-20,
127,2010-01-20,
128,2010-01-21,
129,2010-01-21,
130,2010-01-21,
131,2010-01-21,
132,2010-01-21,
133,2010-01-21,
134,2010-01-22,
135,2010-01-22,
136,2010-01-22,
137,2010-01-22,
138,2010-01-22,
139,2010-01-23,
140,2010-01-23,
141,2010-01-23,
142,2010-01-23,
143,2010-01-23,
144,2010-01-23,
145,2010-01-24,
146,2010-01-24,
147,2010-01-24,
148,2010-01-24,
149,2010-01-24,
150,2010-01-24,
151,2010-01-25,
152,2010-01-25,
153,2010-01-25,
154,2010-01-25,
155,2010-01-25,
156,2010-01-26,
157,2010-01-26,
158,2010-01-26,0.5545
159,2010-01-26,
160,2010-01-26,
161,2010-01-26,
162,2010-01-27,
163,2010-01-27,
164,2010-01-27,
165,2010-01-27,
166,2010-01-27,
167,2010-01-27,
168,2010-01-28,
169,2010-01-28,
170,2010-01-28,
171,2010-01-28,0.1458
172,2010-01-28,
173,2010-01-28,
174,2010-01-29,
175,2010-01-29,
176,2010-01-29,
177,2010-01-29,
178,2010-01-29,
179,2010-01-30,
180,2010-01-30,
181,2010-01-30,
182,2010-01-30,
183,2010-01-30,
184,2010-01-31,
185,2010-01-31,
186,2010-01-31,
187,2010-01-31,
188,2010-01-31,
189,2010-01-31,
190,2010-02-01,
191,2010-02-01,
192,2010-02-01,
193,2010-02-01,
194,2010-02-01,
195,2010-02-01,
196,2010-02-02,
197,2010-02-02,
198,2010-02-02,
199,2010-02-02,
200,2010-02-02,
201,2010-02-02,
202,2010-02-02,
203,2010-02-03,
204,2010-02-03,
205,2010-02-03,
206,2010-02-03,
207,2010-02-03,
208,2010-02-04,
209,2010-02-04,
210,2010-02-04,
211,2010-02-04,0.343
212,2010-02-04,
213,2010-02-04,
214,2010-02-04,
215,2010-02-04,
216,2010-02-05,
217,2010-02-05,
218,2010-02-05,
219,2010-02-05,
220,2010-02-05,
221,2010-02-06,
222,2010-02-06,
223,2010-02-06,
224,2010-02-06,
225,2010-02-06,
226,2010-02-06,
227,2010-02-07,
228,2010-02-07,
229,2010-02-07,
230,2010-02-07,
231,2010-02-08,
232,2010-02-08,
233,2010-02-08,
234,2010-02-08,
235,2010-02-08,
236,2010-02-08,
237,2010-02-08,
238,2010-02-09,
239,2010-02-09,
240,2010-02-09,
241,2010-02-09,
242,2010-02-09,
243,2010-02-09,
244,2010-02-10,
245,2010-02-10,
246,2010-02-10,
247,2010-02-10,
248,2010-02-10,
249,2010-02-10,
250,2010-02-11,
251,2010-02-11,
252,2010-02-11,
253,2010-02-11,
254,2010-02-11,
255,2010-02-11,
256,2010-02-12,
257,2010-02-12,
258,2010-02-12,
259,2010-02-12,
260,2010-02-12,
261,2010-02-13,
262,2010-02-13,
263,2010-02-13,
264,2010-02-13,0.314
265,2010-02-13,
266,2010-02-13,
267,2010-02-13,
268,2010-02-14,
269,2010-02-14,
270,2010-02-14,
271,2010-02-14,0.28600000000000003
272,2010-01-24,
273,2010-01-26,
274,2010-01-28,
275,2010-01-30,
276,2010-02-01,
277,2010-02-03,
278,2010-02-05,
279,2010-02-07,
280,2010-02-09,
281,2010-02-11,
282,2010-02-15,
283,2010-02-15,
284,2010-02-15,
285,2010-02-15,
286,2010-02-15,
287,2010-02-15,
288,2010-02-16,
289,2010-02-16,
290,2010-02-16,
291,2010-02-16,0.2977083333333333
292,2010-02-16,
293,2010-02-17,
294,2010-02-17,
295,2010-02-17,
296,2010-02-17,
297,2010-02-17,
298,2010-02-17,
299,2010-02-17,
300,2010-02-18,
301,2010-02-18,
302,2010-02-18,
303,2010-02-18,
304,2010-02-18,
305,2010-02-18,
306,2010-02-19,
307,2010-02-19,
308,2010-02-19,
309,2010-02-19,
310,2010-02-19,
311,2010-02-19,
312,2010-02-20,
313,2010-02-20,
314,2010-02-20,
315,2010-02-20,
316,2010-02-20,
317,2010-02-20,
318,2010-02-20,
319,2010-02-21,
320,2010-02-21,
321,2010-02-21,
322,2010-02-21,
323,2010-02-21,
324,2010-02-21,
325,2010-02-22,
326,2010-02-22,
327,2010-02-22,
328,2010-02-22,
329,2010-02-22,
330,2010-02-23,
331,2010-02-23,
332,2010-02-23,
333,2010-02-23,
334,2010-02-23,
335,2010-02-24,
336,2010-02-24,
337,2010-02-24,
338,2010-02-25,
339,2010-02-25,
340,2010-02-25,
341,2010-02-25,
342,2010-02-25,
343,2010-02-25,
344,2010-02-25,
345,2010-02-26,
346,2010-02-26,
347,2010-02-26,
348,2010-02-26,
349,2010-02-26,
350,2010-02-27,
351,2010-02-27,
352,2010-02-27,
353,2010-02-27,
354,2010-02-27,
355,2010-02-27,
356,2010-02-27,
357,2010-02-28,
358,2010-02-28,
359,2010-02-28,
360,2010-02-28,
361,2010-02-28,
362,2010-03-01,
363,2010-03-01,
364,2010-03-01,
365,2010-03-01,
366,2010-03-01,
367,2010-03-01,
368,2010-03-01,
369,2010-03-02,
370,2010-03-02,
371,2010-03-02,
372,2010-03-02,
373,2010-03-03,
374,2010-03-03,0.2424285714285714
375,2010-03-03,
376,2010-03-03,
377,2010-03-03,
378,2010-03-03,
379,2010-03-04,
380,2010-03-04,
381,2010-03-04,
382,2010-03-04,
383,2010-03-04,
384,2010-03-05,
385,2010-03-05,
386,2010-03-05,
387,2010-03-05,
388,2010-03-05,
389,2010-03-05,
390,2010-03-05,
391,2010-03-06,
392,2010-03-06,
393,2010-03-06,
394,2010-03-06,
395,2010-03-06,
396,2010-03-06,
397,2010-03-07,
398,2010-03-07,
399,2010-03-07,
400,2010-03-07,
401,2010-03-07,
402,2010-03-07,
403,2010-03-08,
404,2010-02-14,
405,2010-02-16,
406,2010-02-18,
407,2010-02-20,
408,2010-02-22,
409,2010-02-24,
410,2010-02-26,
411,2010-02-28,
412,2010-03-02,
413,2010-03-04,
414,2010-01-23,
415,2010-02-12,
416,2010-03-06,
417,2010-03-27,
