,date,AOD
0,2010-01-01,
1,2010-01-01,
2,2010-01-01,
3,2010-01-01,
4,2010-01-01,
5,2010-01-01,
6,2010-01-02,
7,2010-01-02,
8,2010-01-02,
9,2010-01-02,
10,2010-01-02,
11,2010-01-02,
12,2010-01-03,
13,2010-01-03,
14,2010-01-03,
15,2010-01-03,
16,2010-01-03,
17,2010-01-03,
18,2010-01-04,
19,2010-01-04,
20,2010-01-04,
21,2010-01-04,
22,2010-01-04,
23,2010-01-04,
24,2010-01-04,
25,2010-01-05,
26,2010-01-05,
27,2010-01-05,
28,2010-01-05,
29,2010-01-06,
30,2010-01-06,
31,2010-01-06,
32,2010-01-06,
33,2010-01-06,0.13510144927536233
34,2010-01-06,
35,2010-01-06,
36,2010-01-07,
37,2010-01-07,
38,2010-01-07,
39,2010-01-07,
40,2010-01-07,
41,2010-01-08,
42,2010-01-08,
43,2010-01-08,
44,2010-01-08,
45,2010-01-08,
46,2010-01-08,
47,2010-01-08,
48,2010-01-08,
49,2010-01-09,
50,2010-01-09,
51,2010-01-09,
52,2010-01-09,
53,2010-01-10,
54,2010-01-10,
55,2010-01-10,0.247
56,2010-01-10,
57,2010-01-10,
58,2010-01-10,
59,2010-01-11,
60,2010-01-11,
61,2010-01-11,
62,2010-01-11,
63,2010-01-11,
64,2010-01-03,
65,2010-01-05,
66,2010-01-07,
67,2010-01-09,
68,2010-01-11,
69,2010-01-13,
70,2010-01-15,
71,2010-01-17,
72,2010-01-19,
73,2010-01-11,
74,2010-01-12,
75,2010-01-12,
76,2010-01-12,
77,2010-01-12,
78,2010-01-12,
79,2010-01-12,
80,2010-01-13,
81,2010-01-13,
82,2010-01-13,
83,2010-01-13,
84,2010-01-13,0.137
85,2010-01-13,
86,2010-01-14,
87,2010-01-14,
88,2010-01-14,
89,2010-01-14,
90,2010-01-14,
91,2010-01-15,
92,2010-01-15,
93,2010-01-15,
94,2010-01-15,
95,2010-01-15,
96,2010-01-15,
97,2010-01-15,
98,2010-01-15,
99,2010-01-16,
100,2010-01-16,
101,2010-01-16,
102,2010-01-16,
103,2010-01-16,
104,2010-01-17,
105,2010-01-17,
106,2010-01-17,
107,2010-01-17,
108,2010-01-17,
109,2010-01-18,
110,2010-01-18,
111,2010-01-18,
112,2010-01-18,0.4165
113,2010-01-18,
114,2010-01-18,
115,2010-01-19,
116,2010-01-19,
117,2010-01-19,0.1965714285714286
118,2010-01-19,
119,2010-01-19,
120,2010-01-19,
121,2010-01-20,
122,2010-01-20,
123,2010-01-20,
124,2010-01-20,
125,2010-01-20,0.23720588235294118
126,2010-01-20,
127,2010-01-20,
128,2010-01-21,
129,2010-01-21,
130,2010-01-21,
131,2010-01-21,
132,2010-01-22,
133,2010-01-22,
134,2010-01-22,
135,2010-01-22,
136,2010-01-22,
137,2010-01-22,
138,2010-01-22,
139,2010-01-23,
140,2010-01-23,
141,2010-01-23,
142,2010-01-23,
143,2010-01-23,
144,2010-01-24,
145,2010-01-24,
146,2010-01-24,
147,2010-01-24,
148,2010-01-24,
149,2010-01-24,
150,2010-01-24,
151,2010-01-25,
152,2010-01-25,
153,2010-01-25,
154,2010-01-25,
155,2010-01-25,
156,2010-01-26,
157,2010-01-26,
158,2010-01-26,
159,2010-01-26,
160,2010-01-26,
161,2010-01-26,
162,2010-01-27,
163,2010-01-27,
164,2010-01-27,
165,2010-01-27,
166,2010-01-27,
167,2010-01-27,
168,2010-01-28,
169,2010-01-28,
170,2010-01-28,
171,2010-01-28,
172,2010-01-28,
173,2010-01-29,
174,2010-01-29,
175,2010-01-29,
176,2010-01-29,0.18188059701492537
177,2010-01-29,
178,2010-01-29,
179,2010-01-30,
180,2010-01-30,
181,2010-01-30,
182,2010-01-30,
183,2010-01-30,
184,2010-01-31,
185,2010-01-31,
186,2010-01-31,
187,2010-01-31,0.275
188,2010-01-31,
189,2010-01-31,
190,2010-01-31,
191,2010-01-31,
192,2010-02-01,
193,2010-02-01,
194,2010-02-01,
195,2010-02-01,
196,2010-02-02,
197,2010-02-02,
198,2010-02-02,
199,2010-02-02,
200,2010-02-02,
201,2010-02-02,
202,2010-02-03,
203,2010-02-03,
204,2010-02-03,
205,2010-02-03,0.28800000000000003
206,2010-02-03,
207,2010-02-04,
208,2010-02-04,
209,2010-02-04,0.23550000000000001
210,2010-02-04,
211,2010-02-04,
212,2010-02-04,
213,2010-02-04,
214,2010-02-05,
215,2010-02-05,
216,2010-02-05,
217,2010-02-05,
218,2010-02-05,
219,2010-02-05,
220,2010-02-06,
221,2010-02-06,
222,2010-02-06,
223,2010-02-06,
224,2010-02-06,
225,2010-02-07,
226,2010-02-07,
227,2010-02-07,
228,2010-02-07,
229,2010-02-07,
230,2010-02-07,
231,2010-02-08,
232,2010-02-08,
233,2010-02-08,
234,2010-02-08,
235,2010-02-08,
236,2010-02-08,
237,2010-02-09,
238,2010-02-09,
239,2010-02-09,
240,2010-02-09,
241,2010-02-09,
242,2010-02-09,
243,2010-02-09,
244,2010-02-10,
245,2010-02-10,
246,2010-02-10,
247,2010-02-10,
248,2010-02-10,
249,2010-02-11,
250,2010-02-11,
251,2010-02-11,
252,2010-02-11,
253,2010-02-11,
254,2010-02-12,
255,2010-02-12,
256,2010-02-12,
257,2010-02-12,
258,2010-02-12,0.28425
259,2010-02-12,
260,2010-02-12,
261,2010-02-13,
262,2010-01-23,
263,2010-01-24,
264,2010-01-27,
265,2010-01-28,
266,2010-01-31,
267,2010-02-01,
268,2010-02-03,
269,2010-02-05,0.41625
270,2010-02-07,
271,2010-02-09,
272,2010-02-13,
273,2010-02-13,
274,2010-02-13,
275,2010-02-13,
276,2010-02-14,
277,2010-02-14,
278,2010-02-14,
279,2010-02-14,0.09388235294117647
280,2010-02-14,
281,2010-02-14,
282,2010-02-15,
283,2010-02-15,
284,2010-02-15,
285,2010-02-15,
286,2010-02-16,
287,2010-02-16,
288,2010-02-16,
289,2010-02-16,
290,2010-02-16,0.28038461538461534
291,2010-02-16,
292,2010-02-16,
293,2010-02-16,
294,2010-02-17,
295,2010-02-17,
296,2010-02-17,
297,2010-02-17,
298,2010-02-17,
299,2010-02-18,
300,2010-02-18,
301,2010-02-18,
302,2010-02-18,0.33
303,2010-02-18,
304,2010-02-18,
305,2010-02-19,
306,2010-02-19,
307,2010-02-19,0.32
308,2010-02-19,
309,2010-02-19,
310,2010-02-20,
311,2010-02-20,
312,2010-02-20,
313,2010-02-20,
314,2010-02-20,
315,2010-02-20,
316,2010-02-21,
317,2010-02-21,
318,2010-02-21,
319,2010-02-21,
320,2010-02-21,
321,2010-02-21,
322,2010-02-22,
323,2010-02-22,
324,2010-02-22,
325,2010-02-22,
326,2010-02-22,
327,2010-02-23,
328,2010-02-23,
329,2010-02-23,
330,2010-02-23,
331,2010-02-23,
332,2010-02-23,
333,2010-02-24,
334,2010-02-24,
335,2010-02-24,
336,2010-02-24,
337,2010-02-24,
338,2010-02-24,
339,2010-02-25,
340,2010-02-25,
341,2010-02-25,
342,2010-02-25,0.3595
343,2010-02-25,
344,2010-02-25,
345,2010-02-25,
346,2010-02-26,
347,2010-02-26,
348,2010-02-26,
349,2010-02-26,
350,2010-02-27,
351,2010-02-27,
352,2010-02-27,
353,2010-02-27,
354,2010-02-27,
355,2010-02-27,
356,2010-02-27,
357,2010-02-28,
358,2010-02-28,
359,2010-02-28,
360,2010-02-28,
361,2010-02-28,
362,2010-02-28,
363,2010-03-01,
364,2010-03-01,
365,2010-03-01,
366,2010-03-01,
367,2010-03-01,
368,2010-03-01,
369,2010-03-02,
370,2010-03-02,
371,2010-03-02,
372,2010-03-02,
373,2010-03-02,
374,2010-03-03,
375,2010-03-03,
376,2010-03-03,
377,2010-03-03,
378,2010-03-03,
379,2010-03-04,
380,2010-03-04,
381,2010-03-04,
382,2010-03-04,
383,2010-03-04,
384,2010-03-04,
385,2010-03-04,
386,2010-03-04,
387,2010-03-05,
388,2010-03-05,
389,2010-03-05,
390,2010-03-05,
391,2010-03-05,
392,2010-03-06,
393,2010-03-06,
394,2010-02-13,
395,2010-02-15,
396,2010-02-16,
397,2010-02-19,
398,2010-02-20,
399,2010-02-23,
400,2010-02-25,
401,2010-02-26,
402,2010-02-28,
403,2010-03-02,0.17341935483870968
404,2010-03-06,
405,2010-03-06,
406,2010-03-06,
407,2010-03-06,
408,2010-03-07,
409,2010-03-07,
410,2010-03-07,
411,2010-03-07,
412,2010-03-07,
